Date,Open,High,Low,Close,Adj. Close,Change,Volume
2019-03-21,49.99000,50.00000,48.20000,48.98000,36.06300,-1.65%,1764671
2019-03-22,48.80000,49.95000,48.16000,48.60000,35.78300,-0.78%,844690
2019-03-25,48.60000,49.40000,48.00000,49.15000,36.18800,1.13%,440892
2019-03-26,49.00000,49.75000,48.18000,48.85000,35.96700,-0.61%,504734
2019-03-27,49.00000,50.78000,49.00000,50.10000,36.88700,2.56%,1788588
2019-03-28,50.90000,51.00000,49.91500,50.85000,37.44000,1.50%,585438
2019-03-29,49.52000,52.48000,49.18000,51.63000,38.01400,1.53%,1769027
2019-04-01,52.30000,54.39000,51.25000,53.50000,39.39100,3.62%,19663442
2019-04-02,55.12000,57.39000,54.30000,56.25000,41.41600,5.14%,17414153
2019-04-03,57.08000,57.20000,55.51000,56.88000,41.87900,1.12%,15066169
2019-04-04,57.20000,60.52000,57.10000,59.71000,43.96300,4.98%,13311868
2019-04-05,58.39000,58.98000,56.27000,57.24000,42.14400,-4.14%,17000788
2019-04-08,56.50000,58.39000,56.27000,57.15000,42.07800,-0.16%,10764569
2019-04-09,56.80000,57.20000,56.08000,56.27000,41.43000,-1.54%,9179922
2019-04-10,55.99000,56.41000,55.10000,55.71000,41.01800,-1.00%,9081860
2019-04-11,55.70000,56.21000,54.83000,54.89000,40.41400,-1.47%,7346094
2019-04-12,55.93000,58.33000,55.93000,58.30000,42.92500,6.21%,9281662
2019-04-15,58.57000,58.85000,57.29000,57.78000,42.54200,-0.89%,5727269
2019-04-16,58.71000,58.99000,57.84000,58.50000,43.07200,1.25%,6681567
2019-04-17,58.95000,59.05000,58.20000,58.32000,42.94000,-0.31%,6420663
2019-04-18,58.36000,58.61000,57.55000,57.77000,42.53500,-0.94%,5178855
2019-04-22,57.48000,58.41000,57.26000,57.89000,42.62300,0.21%,4401749
2019-04-23,57.29000,57.84000,57.00000,57.64000,42.43900,-0.43%,5687232
2019-04-24,57.49000,57.89000,55.86500,55.98000,41.21700,-2.88%,5431323
2019-04-25,55.76000,55.98000,54.82000,55.33000,40.73800,-1.16%,6260460
2019-04-26,55.30000,55.60000,54.95000,55.25000,40.67900,-0.14%,4009795
2019-04-29,55.05000,55.68500,54.80000,55.50000,40.86300,0.45%,5935245
2019-04-30,55.76000,57.20500,55.60000,56.73000,41.76900,2.22%,6454064
2019-05-01,56.82000,57.48000,55.88000,56.13000,41.32700,-1.06%,7644453
2019-05-02,55.54000,56.49000,52.03000,52.70000,38.80200,-6.11%,13932682
2019-05-03,53.20000,53.35000,51.72000,53.30000,39.24400,1.14%,7401851
2019-05-06,52.15000,54.03000,51.70000,53.46000,39.36100,0.30%,6089501
2019-05-07,52.86000,53.32500,52.65000,52.95000,38.98600,-0.95%,7330785
2019-05-08,53.33000,53.39500,52.31000,52.48000,38.64000,-0.89%,5390685
2019-05-09,52.26000,53.14000,51.55000,52.93000,38.97100,0.86%,4579758
2019-05-10,52.94000,53.71400,52.49000,53.07000,39.07400,0.26%,4758371
2019-05-13,52.28000,52.55000,50.76000,50.95000,37.51300,-3.99%,4213102
2019-05-14,51.33000,53.00000,50.84000,52.48000,38.64000,3.00%,4204519
2019-05-15,51.98000,53.32500,51.67000,52.95000,38.98600,0.90%,2928861
2019-05-16,53.29000,53.55000,52.73000,52.98000,39.00800,0.06%,3689745
2019-05-17,52.34000,52.52000,50.66000,50.80000,37.40300,-4.11%,4440775
2019-05-20,50.40000,50.54000,49.92000,50.08000,36.87300,-1.42%,5168422
2019-05-21,50.28000,51.19000,50.02000,50.63000,37.27800,1.10%,4968460
2019-05-22,50.46000,50.61000,49.96500,50.21000,36.96800,-0.83%,3019120
2019-05-23,49.50000,49.86000,48.21000,48.71000,35.86400,-2.99%,4919173
2019-05-24,49.39000,49.57500,48.44000,49.20000,36.22500,1.01%,2918936
2019-05-28,49.37000,49.43000,48.10000,48.56000,35.75400,-1.30%,6613184
2019-05-29,48.20000,49.43000,48.01000,48.71000,35.86400,0.31%,3525856
2019-05-30,48.12000,48.59000,48.02000,48.47000,36.20300,-0.49%,3777607
2019-05-31,47.96000,48.00000,46.75000,46.76000,34.92600,-3.53%,3396850
2019-06-03,46.85000,47.96000,46.85000,47.96000,35.82200,2.57%,5905198
2019-06-04,48.68000,49.93000,48.64000,49.93000,37.29300,4.11%,7043092
2019-06-05,50.49000,50.57000,49.05000,50.34000,37.59900,0.82%,6413509
2019-06-06,50.28000,51.31000,50.15000,51.06000,38.13700,1.43%,6228075
2019-06-07,51.13000,51.69000,50.87000,51.30000,38.31600,0.47%,5391099
2019-06-10,51.72000,52.10000,51.58000,51.62000,38.55500,0.62%,5434387
2019-06-11,52.00000,52.17000,51.56000,52.04000,38.86900,0.81%,5144357
2019-06-12,52.06000,52.64000,51.68000,52.49000,39.20500,0.86%,3103878
2019-06-13,52.68000,52.95000,52.04000,52.88000,39.49700,0.74%,4179766
2019-06-14,52.63000,52.69000,51.00000,51.15000,38.20400,-3.27%,3919484
2019-06-17,50.06000,50.33000,49.05000,49.35000,36.86000,-3.52%,5787336
2019-06-18,49.75000,50.57000,49.40000,49.61000,37.05400,0.53%,5014237
2019-06-19,49.95000,50.24000,48.33000,48.50000,36.22500,-2.24%,5404141
2019-06-20,49.09500,49.59000,48.62000,48.93000,36.54600,0.89%,4228328
2019-06-21,48.82000,49.27000,48.31000,48.36000,36.12100,-1.16%,9478466
2019-06-24,48.51000,49.70000,48.32000,49.58000,37.03200,2.52%,4602352
2019-06-25,49.49000,50.22300,49.05000,49.69000,37.11400,0.22%,4005218
2019-06-26,49.85000,51.22000,49.81000,50.45000,37.68200,1.53%,5244396
2019-06-27,50.61000,51.14000,50.53100,50.91000,38.02500,0.91%,4097246
2019-06-28,51.04000,51.20000,49.08000,49.31000,36.83000,-3.14%,6507386
2019-07-01,50.00000,50.20000,49.52000,50.16000,37.46500,1.72%,4659633
2019-07-02,50.00000,50.06000,48.76000,49.40000,36.89700,-1.52%,4726195
2019-07-03,49.46000,49.65000,49.20000,49.33000,36.84500,-0.14%,2479359
2019-07-05,49.01000,49.37000,48.96000,49.31000,36.83000,-0.04%,2529919
2019-07-08,49.34000,49.50000,48.38500,48.52000,36.24000,-1.60%,5936049
2019-07-09,48.30000,48.43000,47.50000,47.87000,35.75500,-1.34%,4967429
2019-07-10,48.34000,48.42000,47.52000,47.55000,35.51600,-0.67%,3507432
2019-07-11,47.73000,48.06000,47.18000,47.78000,35.68700,0.48%,4202113
2019-07-12,48.46000,50.04000,48.08000,49.71000,37.12900,4.04%,4328444
2019-07-15,49.77000,50.95000,49.66000,50.93000,38.04000,2.45%,4923844
2019-07-16,50.95000,52.64500,50.95000,52.32000,39.07800,2.73%,6011246
2019-07-17,52.16000,52.30000,51.23000,51.60000,38.54100,-1.38%,4417567
2019-07-18,51.55000,52.05000,51.28000,51.75000,38.65300,0.29%,3662569
2019-07-19,51.77000,51.83000,51.50000,51.52000,38.48100,-0.44%,3221517
2019-07-22,51.50400,51.57000,50.60000,50.88000,38.00300,-1.24%,2815169
2019-07-23,51.00000,52.90000,50.95000,52.62000,39.30200,3.42%,4387686
2019-07-24,52.50000,52.99000,52.04000,52.79000,39.42900,0.32%,3516493
2019-07-25,51.64000,51.99000,50.30000,50.77000,37.92100,-3.83%,4254577
2019-07-26,50.27000,50.30000,48.92000,49.11000,36.68100,-3.27%,5066020
2019-07-29,48.52000,48.88000,47.98000,48.05000,35.88900,-2.16%,4219839
2019-07-30,47.78000,48.44000,47.78000,48.40000,36.15000,0.73%,4194314
2019-07-31,48.49000,49.43000,47.95000,48.44000,36.18000,0.08%,5188502
2019-08-01,48.15000,48.60000,46.78000,46.85000,34.99300,-3.28%,5803209
2019-08-02,46.69000,47.50000,45.37000,45.60000,34.05900,-2.67%,5346434
2019-08-05,45.06000,45.13000,44.07000,44.77000,33.43900,-1.82%,5147308
2019-08-06,45.11000,45.45000,43.73500,44.43000,33.18500,-0.76%,4702804
2019-08-07,44.10000,45.00000,43.91000,44.89000,33.52900,1.04%,4490080
2019-08-08,45.19700,46.82000,45.19000,46.79000,34.94800,4.23%,4573351
2019-08-09,46.42000,46.99000,46.10000,46.64000,34.83600,-0.32%,4472721
2019-08-12,46.39000,46.80000,45.52000,45.69000,34.12600,-2.04%,5320263
2019-08-13,45.78000,47.76000,45.58000,46.85000,34.99300,2.54%,5415836
2019-08-14,45.80000,46.15000,44.00000,44.08000,32.92400,-5.91%,6178272
2019-08-15,44.34000,44.37000,42.96000,43.38000,32.40100,-1.59%,3494579
2019-08-16,43.29000,44.81000,42.77000,44.51000,33.24500,2.60%,4586010
2019-08-19,45.36000,45.86300,45.15000,45.60000,34.05900,2.45%,3615483
2019-08-20,45.25000,45.25000,43.07000,43.16000,32.23700,-5.35%,5973272
