Date,Open,High,Low,Close,Adj. Close,Change,Volume
2010-09-10,101.68000,101.86000,101.29600,101.78000,77.95200,0.45%,8600
2010-09-13,102.96000,103.14000,102.50000,103.06000,78.93200,1.26%,33700
2010-09-14,102.84000,103.48000,102.38000,103.03800,78.91500,-0.02%,59400
2010-09-15,102.62000,103.38000,102.40000,103.30000,79.11600,0.25%,9200
2010-09-16,103.02000,103.32000,102.70000,103.26000,79.08500,-0.04%,59500
2010-09-17,103.88000,103.88000,103.02000,103.36000,79.16200,0.10%,49300
2010-09-20,103.74000,105.04000,103.46000,105.04000,80.44900,1.63%,19000
2010-09-21,105.02000,105.44000,104.28000,104.72000,80.20400,-0.30%,19200
2010-09-22,104.56000,105.04000,103.96000,104.16000,79.77500,-0.53%,18100
2010-09-23,103.32000,104.34000,103.12000,103.30600,79.12100,-0.82%,33300
2010-09-24,103.94000,104.90000,103.86800,104.84000,80.72300,1.48%,24100
2010-09-27,104.98000,104.98000,104.34000,104.34000,80.33800,-0.48%,15000
2010-09-28,104.31800,105.02000,103.42000,105.02000,80.86200,0.65%,49800
2010-09-29,104.58000,104.91000,104.22000,104.52000,80.47700,-0.48%,15900
2010-09-30,105.20000,105.68000,103.96000,104.36000,80.35300,-0.15%,44700
2010-10-01,105.08000,105.16000,104.16500,104.72000,80.63100,0.34%,17100
2010-10-04,105.26000,105.26000,103.50000,103.84000,79.95300,-0.84%,88700
2010-10-05,105.02000,106.20000,104.82000,106.11600,81.70500,2.19%,19800
2010-10-06,106.12000,106.28000,105.62000,105.93600,81.56700,-0.17%,276900
2010-10-07,106.50000,106.50000,105.32000,105.88000,81.52400,-0.05%,49900
2010-10-08,106.02000,106.74000,105.66000,106.68000,82.14000,0.76%,61500
2010-10-11,106.72000,106.84000,106.28000,106.50000,82.00100,-0.17%,14200
2010-10-12,106.38000,107.24000,105.74000,107.12000,82.47800,0.58%,42000
2010-10-13,107.58000,108.28000,107.24000,107.76000,82.97100,0.60%,74400
2010-10-14,107.70000,107.81800,106.80000,107.36000,82.66300,-0.37%,19100
2010-10-15,108.04000,108.08000,106.72000,107.56000,82.81700,0.19%,54900
